date, Linc,  L2025,  L2030,  L2035,  L2040,  L2045,  L2050,  L2055,  L2060,  L2065,  G,  F,  C,  S,  I
2022-01-14, 23.372200, 12.141600, 43.051200, 12.948800, 49.077000, 13.458500, 29.524200, 14.603900, 14.603700, 14.603400, 16.746500, 20.522400, 70.426900, 78.994200, 39.406200
2022-01-13, 23.387200, 12.153600, 43.106600, 12.967200, 49.152600, 13.480900, 29.575600, 14.627800, 14.627600, 14.627400, 16.745800, 20.632000, 70.367600, 79.129900, 39.607600
2022-01-12, 23.442800, 12.208000, 43.379000, 13.057300, 49.524900, 13.590300, 29.831900, 14.783900, 14.783700, 14.783400, 16.745100, 20.597100, 71.375800, 80.487400, 39.733800
2022-01-11, 23.422700, 12.189300, 43.287700, 13.027400, 49.402600, 13.554800, 29.749500, 14.734400, 14.734100, 14.733900, 16.744400, 20.603600, 71.174300, 80.933000, 39.420300
2022-01-10, 23.359900, 12.130800, 42.999500, 12.932200, 49.009900, 13.439400, 29.479900, 14.575200, 14.574900, 14.574700, 16.743700, 20.566700, 70.528400, 79.757500, 38.946800
2022-01-07, 23.383300, 12.153800, 43.115100, 12.970500, 49.168500, 13.486100, 29.589100, 14.639600, 14.639400, 14.639200, 16.741400, 20.586100, 70.629700, 79.913200, 39.331300
2022-01-06, 23.398900, 12.167900, 43.183500, 12.993300, 49.262800, 13.514100, 29.654300, 14.675300, 14.675100, 14.674800, 16.740700, 20.641900, 70.904200, 80.670300, 39.230200
2022-01-05, 23.413200, 12.181100, 43.248200, 13.014700, 49.350400, 13.539600, 29.713600, 14.709100, 14.708900, 14.708700, 16.740000, 20.669500, 70.967800, 80.332100, 39.507000
2022-01-04, 23.511400, 12.274400, 43.711000, 13.168000, 49.984800, 13.726700, 30.151600, 14.968900, 14.968700, 14.968500, 16.739300, 20.727100, 72.365600, 83.251700, 39.814900
2022-01-03, 23.494900, 12.259000, 43.635400, 13.143300, 49.883200, 13.697200, 30.082900, 14.927200, 14.927100, 14.926800, 16.738600, 20.736300, 72.406100, 83.828400, 39.349700
2021-12-31, 23.485400, 12.247300, 43.573000, 13.123000, 49.798700, 13.672600, 30.024100, 14.882500, 14.882400, 14.882300, 16.736500, 20.886700, 71.947000, 83.441000, 39.441600
2021-12-30, 23.492800, 12.255500, 43.613700, 13.136500, 49.855000, 13.689200, 30.063300, 14.907100, 14.907000, 14.906800, 16.735900, 20.872000, 72.133300, 83.768000, 39.418500
2021-12-29, 23.498000, 12.262100, 43.647500, 13.147600, 49.900600, 13.702300, 30.094200, 14.928500, 14.928400, 14.928200, 16.735200, 20.827300, 72.343100, 83.504900, 39.471400
2021-12-28, 23.493700, 12.256500, 43.618900, 13.138200, 49.861800, 13.691000, 30.067300, 14.908400, 14.908300, 14.908200, 16.734500, 20.890000, 72.241200, 83.511800, 39.394900
2021-12-27, 23.498900, 12.262300, 43.647700, 13.148000, 49.902700, 13.703400, 30.096600, 14.925900, 14.925800, 14.925700, 16.733900, 20.892800, 72.314300, 84.135000, 39.348200
2021-12-23, 23.435900, 12.202600, 43.363400, 13.054500, 49.518500, 13.591100, 29.835100, 14.771300, 14.771200, 14.771100, 16.731100, 20.868000, 71.323900, 83.511700, 39.070000
2021-12-22, 23.398300, 12.164600, 43.179400, 12.993800, 49.267900, 13.517500, 29.662700, 14.665600, 14.665500, 14.665300, 16.730500, 20.910800, 70.881400, 82.830900, 38.743800
2021-12-21, 23.353000, 12.121200, 42.972700, 12.925800, 48.988400, 13.435800, 29.472400, 14.553800, 14.553700, 14.553600, 16.729800, 20.886100, 70.159700, 82.227000, 38.578600
2021-12-20, 23.251700, 12.020400, 42.485600, 12.764900, 48.323900, 13.240400, 29.014800, 14.278400, 14.278300, 14.278200, 16.729200, 20.920600, 68.928000, 79.739500, 37.936700
2021-12-17, 23.309100, 12.077700, 42.763200, 12.856800, 48.703600, 13.352100, 29.276200, 14.433200, 14.433200, 14.433100, 16.727100, 20.948400, 69.721500, 81.078300, 38.226400
2021-12-16, 23.358200, 12.127000, 43.001100, 12.934900, 49.024100, 13.445300, 29.493100, 14.565000, 14.564900, 14.564800, 16.726400, 20.915900, 70.442800, 80.289500, 38.824600
2021-12-15, 23.383800, 12.154000, 43.133800, 12.978900, 49.207300, 13.499600, 29.621100, 14.643800, 14.643700, 14.643600, 16.725800, 20.880000, 71.061700, 81.927700, 38.615100
2021-12-14, 23.308400, 12.078900, 42.771400, 12.859500, 48.714700, 13.355200, 29.283400, 14.439600, 14.439500, 14.439400, 16.725100, 20.919400, 69.917500, 80.733900, 38.190200
2021-12-13, 23.349800, 12.119600, 42.967200, 12.924200, 48.982100, 13.433800, 29.467200, 14.548000, 14.547900, 14.547800, 16.724500, 20.946700, 70.432900, 81.544900, 38.451400
2021-12-10, 23.386800, 12.159600, 43.164900, 12.989700, 49.253500, 13.513700, 29.655000, 14.665200, 14.665100, 14.665000, 16.722400, 20.875200, 71.081100, 82.547900, 38.640300
2021-12-09, 23.368000, 12.141800, 43.080500, 12.962200, 49.141700, 13.481600, 29.580900, 14.620900, 14.620800, 14.620700, 16.721700, 20.877200, 70.408100, 82.962300, 38.752700
2021-12-08, 23.410200, 12.184900, 43.291200, 13.032200, 49.432500, 13.567800, 29.783600, 14.743700, 14.743600, 14.743500, 16.721100, 20.858100, 70.908900, 84.896000, 38.918500
2021-12-07, 23.388900, 12.162400, 43.180500, 12.995600, 49.280300, 13.522800, 29.677500, 14.676600, 14.676500, 14.676400, 16.720400, 20.920100, 70.689400, 83.965700, 38.759700
